title,book,alt_text,filename,date,tag,description
"02/17 - 08/17, Front Cover",2017-02,"Front conver, sticker by [Hiss](https://www.instagram.com/hissxx/)",201702_20170805_0001.jpg,2017-02-01,cover,"Front conver, sticker by [Hiss](https://www.instagram.com/hissxx/)"
"02/17 - 08/17, Front Cover (Interior)",2017-02,"Front cover, interior",201702_20170805_0002.jpg,2017-02-02,cover,"Front cover, interior"
"02/17 - 08/17, Back Cover",2017-02,"Back cover, bootleg Stardew Valley sticker",201702_20170805_0004.jpg,2017-02-04,cover,"Back cover, bootleg Stardew Valley sticker"
"02/17 - 05/17, 001",2017-02,First page of sketchbook poppies,201702_20170805_0007.jpg,2017-02-07,plants,First page of sketchbook poppies
"02/17 - 05/17, 002",2017-02,Flowering lemons,201702_20170805_0008.jpg,2017-02-08,plants,Flowering lemons
"02/17 - 05/17, 003",2017-02,Morning glories,201702_20170805_0009.jpg,2017-02-09,plants,Morning glories
"02/17 - 05/17, 004",2017-02,Snow drops,201702_20170805_0010.jpg,2017-02-10,plants,Snow drops
"02/17 - 05/17, 005",2017-02,Rough character sketches,201702_20170805_0011.jpg,2017-02-11,ocs,Rough character sketches
"02/17 - 05/17, 006",2017-02,Hand of Glory,201702_20170805_0012.jpg,2017-02-12,"occult, hands",Hand of Glory
"02/17 - 05/17, 007",2017-02,Miscellaneous flowers,201702_20170805_0013.jpg,2017-02-13,plants,Miscellaneous flowers
"02/17 - 05/17, 008",2017-02,"Matches, nails",201702_20170805_0014.jpg,2017-02-14,objects,"Matches, nails"
"02/17 - 05/17, 009",2017-02,Owls,201702_20170805_0015.jpg,2017-02-15,owls,Owls
"02/17 - 05/17, 010",2017-02,"Lights, glasses",201702_20170805_0016.jpg,2017-02-16,objects,"Lights, glasses"
